model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost
static_baseline,P03,120,1.8833333333333333,3.0,0.9916666666666667,
static_baseline,P08,120,3.216666666666667,4.0,1.0,
static_baseline,P10,120,2.216666666666667,3.0526315789473686,1.0,
static_baseline,P12,120,2.65,3.1285714285714286,1.0,
static_baseline,P13,120,2.183333333333333,3.0285714285714285,1.0,
static_baseline,P14,120,3.95,4.0,1.0,
static_baseline,P20,120,2.65,3.076923076923077,1.0,
static_baseline,P23,120,2.525,3.0704225352112675,0.9916666666666667,
static_baseline,P26,120,2.5166666666666666,3.1454545454545455,1.0,
static_baseline,P29,120,1.8666666666666667,2.0,1.0,
heuristic_baseline,P03,120,2.683333333333333,3.08974358974359,1.0,
heuristic_baseline,P08,120,3.225,4.0,1.0,
heuristic_baseline,P10,120,3.175,4.0,1.0,
heuristic_baseline,P12,120,3.033333333333333,4.0,1.0,
heuristic_baseline,P13,120,1.75,2.045977011494253,0.9916666666666667,
heuristic_baseline,P14,120,3.941666666666667,4.0,1.0,
heuristic_baseline,P20,120,0.6833333333333333,1.1081081081081081,0.6166666666666667,
heuristic_baseline,P23,120,1.775,2.0434782608695654,0.975,
heuristic_baseline,P26,120,2.975,3.0085470085470085,1.0,
heuristic_baseline,P29,120,1.8416666666666666,2.0,1.0,
