param_name,param_value,expected_hits,p_hit_ge_1,var_hits,footprint_area,max_extent_along,max_extent_across,seed
spacing_along,400.0,2.0,1.0,0.0,1080000.0,800.0,1350.0,1945
spacing_across,450.0,2.0,1.0,0.0,1080000.0,800.0,1350.0,1945
jitter_std,0.0,2.0,1.0,0.0,1080000.0,800.0,1350.0,1945
spacing_along,600.0,2.0,1.0,0.0,1620000.0,1200.0,1350.0,1945
spacing_across,450.0,2.0,1.0,0.0,1620000.0,1200.0,1350.0,1945
jitter_std,0.0,2.0,1.0,0.0,1620000.0,1200.0,1350.0,1945
spacing_along,400.0,2.43,1.0,0.5251,1158948.347011515,857.0772440353708,1352.2099146569876,1945
spacing_across,450.0,2.43,1.0,0.5251,1158948.347011515,857.0772440353708,1352.2099146569876,1945
jitter_std,20.0,2.43,1.0,0.5251,1158948.347011515,857.0772440353708,1352.2099146569876,1945
spacing_along,600.0,2.84,1.0,0.7243999999999999,1707322.3597714696,1228.9952978342928,1389.201702219751,1945
spacing_across,450.0,2.84,1.0,0.7243999999999999,1707322.3597714696,1228.9952978342928,1389.201702219751,1945
jitter_std,20.0,2.84,1.0,0.7243999999999999,1707322.3597714696,1228.9952978342928,1389.201702219751,1945
spacing_along,400.0,3.22,1.0,1.1616,1239298.9581366791,893.6807771547149,1386.7356105413137,1945
spacing_across,450.0,3.22,1.0,1.1616,1239298.9581366791,893.6807771547149,1386.7356105413137,1945
jitter_std,40.0,3.22,1.0,1.1616,1239298.9581366791,893.6807771547149,1386.7356105413137,1945
spacing_along,800.0,3.285,1.0,0.7337749999999998,2341880.10391334,1669.4947646399587,1402.7477974262392,1945
spacing_across,450.0,3.285,1.0,0.7337749999999998,2341880.10391334,1669.4947646399587,1402.7477974262392,1945
jitter_std,20.0,3.285,1.0,0.7337749999999998,2341880.10391334,1669.4947646399587,1402.7477974262392,1945
spacing_along,600.0,3.465,1.0,1.088775,1931330.9594256817,1336.0060247509336,1445.6004865589825,1945
spacing_across,450.0,3.465,1.0,1.088775,1931330.9594256817,1336.0060247509336,1445.6004865589825,1945
jitter_std,40.0,3.465,1.0,1.088775,1931330.9594256817,1336.0060247509336,1445.6004865589825,1945
spacing_along,800.0,3.705,1.0,1.1579750000000002,2473520.110109878,1753.5527912471891,1410.5763581549331,1945
spacing_across,450.0,3.705,1.0,1.1579750000000002,2473520.110109878,1753.5527912471891,1410.5763581549331,1945
jitter_std,40.0,3.705,1.0,1.1579750000000002,2473520.110109878,1753.5527912471891,1410.5763581549331,1945
spacing_along,400.0,4.0,1.0,0.0,840000.0,800.0,1050.0,1945
spacing_across,350.0,4.0,1.0,0.0,840000.0,800.0,1050.0,1945
jitter_std,0.0,4.0,1.0,0.0,840000.0,800.0,1050.0,1945
spacing_along,800.0,4.0,1.0,0.0,2160000.0,1600.0,1350.0,1945
spacing_across,450.0,4.0,1.0,0.0,2160000.0,1600.0,1350.0,1945
jitter_std,0.0,4.0,1.0,0.0,2160000.0,1600.0,1350.0,1945
spacing_along,400.0,4.325,1.0,1.129375,891399.5611687225,825.0117504391601,1080.4689274961522,1945
spacing_across,350.0,4.325,1.0,1.129375,891399.5611687225,825.0117504391601,1080.4689274961522,1945
jitter_std,20.0,4.325,1.0,1.129375,891399.5611687225,825.0117504391601,1080.4689274961522,1945
spacing_along,400.0,4.645,1.0,1.3189749999999998,1087832.8349163467,915.847394882255,1187.788316039489,1945
spacing_across,350.0,4.645,1.0,1.3189749999999998,1087832.8349163467,915.847394882255,1187.788316039489,1945
jitter_std,40.0,4.645,1.0,1.3189749999999998,1087832.8349163467,915.847394882255,1187.788316039489,1945
spacing_along,600.0,5.405,1.0,1.260975,1451597.287758646,1291.1211832698918,1124.2920545090374,1945
spacing_across,350.0,5.405,1.0,1.260975,1451597.287758646,1291.1211832698918,1124.2920545090374,1945
jitter_std,40.0,5.405,1.0,1.260975,1451597.287758646,1291.1211832698918,1124.2920545090374,1945
spacing_along,600.0,5.58,1.0,0.6736,1350054.2353102362,1264.1704538519484,1067.936868162516,1945
spacing_across,350.0,5.58,1.0,0.6736,1350054.2353102362,1264.1704538519484,1067.936868162516,1945
jitter_std,20.0,5.58,1.0,0.6736,1350054.2353102362,1264.1704538519484,1067.936868162516,1945
spacing_along,600.0,6.0,1.0,0.0,1260000.0,1200.0,1050.0,1945
spacing_across,350.0,6.0,1.0,0.0,1260000.0,1200.0,1050.0,1945
jitter_std,0.0,6.0,1.0,0.0,1260000.0,1200.0,1050.0,1945
spacing_along,800.0,6.315,1.0,1.4257749999999998,1956265.180898269,1649.7593322735786,1185.7882193048645,1945
spacing_across,350.0,6.315,1.0,1.4257749999999998,1956265.180898269,1649.7593322735786,1185.7882193048645,1945
jitter_std,40.0,6.315,1.0,1.4257749999999998,1956265.180898269,1649.7593322735786,1185.7882193048645,1945
spacing_along,800.0,6.8,1.0,0.86,1755174.7756296203,1654.011063149747,1061.1626576954245,1945
spacing_across,350.0,6.8,1.0,0.86,1755174.7756296203,1654.011063149747,1061.1626576954245,1945
jitter_std,20.0,6.8,1.0,0.86,1755174.7756296203,1654.011063149747,1061.1626576954245,1945
spacing_along,800.0,8.0,1.0,0.0,1680000.0,1600.0,1050.0,1945
spacing_across,350.0,8.0,1.0,0.0,1680000.0,1600.0,1050.0,1945
jitter_std,0.0,8.0,1.0,0.0,1680000.0,1600.0,1050.0,1945
spacing_along,800.0,8.22,1.0,1.5816000000000003,1477603.3313843233,1685.2798792059652,876.7702917574197,1945
spacing_across,250.0,8.22,1.0,1.5816000000000003,1477603.3313843233,1685.2798792059652,876.7702917574197,1945
jitter_std,40.0,8.22,1.0,1.5816000000000003,1477603.3313843233,1685.2798792059652,876.7702917574197,1945
spacing_along,600.0,8.755,1.0,1.284975,1052978.8158346855,1278.420313885087,823.6561985116691,1945
spacing_across,250.0,8.755,1.0,1.284975,1052978.8158346855,1278.420313885087,823.6561985116691,1945
jitter_std,40.0,8.755,1.0,1.284975,1052978.8158346855,1278.420313885087,823.6561985116691,1945
spacing_along,800.0,9.15,1.0,0.9775,1355064.7857128966,1647.1363075126292,822.6792036168548,1945
