action_name,split,profiles,samples,expected_hits,CVaR_90,VaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss,complexity_cost,layout_type
rect_uniform_6x7_none_high_value_center_standard_standard,train,20,2400,2.8916666666666666,3.6155152279708007,3.8758333333333335,0.9983333333333334,4.116145833333333,3.1341666666666668,0.33666666666666667,7.3176458333333345,9.196389351851852,1.2700000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_standard,eval,10,1200,3.025833333333333,3.6047802197802192,3.9349999999999996,1.0,3.5643229166666672,2.4899999999999998,0.6233333333333333,6.178989583333333,7.587532331696195,1.2700000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_loose,train,20,2400,2.7645833333333334,3.3817706466469266,3.9091666666666667,0.9933333333333334,3.434432291666666,2.667916666666667,0.5537500000000001,6.213098958333332,7.776463106076605,1.37,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_loose,eval,10,1200,2.565833333333333,3.1502574593679116,3.29,0.9983333333333334,3.1997083333333336,2.236666666666667,0.4925,5.5348749999999995,7.098197811397081,1.37,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_compact,train,20,2400,3.3083333333333345,3.807043956043956,3.8941666666666666,1.0,4.219697916666666,3.1704166666666667,0.5475,7.499614583333335,9.093153311041322,1.32,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_compact,eval,10,1200,3.2875,3.7147058823529413,3.95,1.0,4.910947916666666,3.5450000000000004,0.40499999999999997,8.536947916666666,10.581174183877664,1.32,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_standard,train,20,2400,3.0266666666666664,3.5780870781579175,3.8641666666666667,0.9895833333333334,3.78775,2.8124999999999996,0.5208333333333334,6.704416666666669,8.237928249342009,1.37,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_standard,eval,10,1200,2.8375,3.3127919491020146,3.86,0.9933333333333334,3.669677083333333,2.638333333333333,0.3775,6.383510416666667,7.767703142071062,1.37,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_loose,train,20,2400,2.9745833333333334,3.584771061828686,3.7866666666666666,0.9962500000000002,3.4638802083333333,2.6562499999999996,0.5758333333333333,6.235296875,7.630714069328233,1.47,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_loose,eval,10,1200,3.025,3.5248778998779002,3.95,0.9950000000000001,3.199635416666667,2.3766666666666665,0.6808333333333333,5.712468750000001,7.034894830983194,1.47,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_compact,train,20,2400,3.1870833333333337,3.560307274424922,3.9166666666666665,0.9491666666666667,4.458221354166666,3.31875,0.45,7.866971354166667,9.63905125021151,1.1,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_compact,eval,10,1200,3.265833333333334,3.6062345679012346,3.95,0.9850000000000001,4.3375625,3.1491666666666664,0.3408333333333333,7.554895833333333,9.071621621621622,1.1,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_standard,train,20,2400,2.993333333333333,3.6033963227783454,3.879166666666667,0.9475,3.9663255208333332,2.744583333333334,0.6300000000000001,6.836908854166667,8.612016750644592,1.1500000000000001,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_standard,eval,10,1200,2.8758333333333335,3.4268261562998403,3.9341666666666666,0.9383333333333332,3.8215937499999995,2.6708333333333334,0.59,6.610427083333333,8.337345632135165,1.1500000000000001,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_loose,train,20,2400,2.7070833333333333,3.3129363421998725,3.9091666666666667,0.9475000000000001,3.6386093749999993,2.394166666666667,0.5620833333333333,6.145192708333334,7.593028738586256,1.25,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_loose,eval,10,1200,2.363333333333333,3.0425197366397945,3.4691666666666663,0.8866666666666667,3.317458333333333,2.1975000000000002,0.30333333333333334,5.575625,7.333781288745006,1.25,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_compact,train,20,2400,3.1158333333333337,3.6145221483942414,3.9166666666666665,0.9854166666666668,4.538127604166667,3.3204166666666666,0.29416666666666663,7.917377604166667,10.432715081793205,1.2000000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_compact,eval,10,1200,2.861666666666667,3.3126294498381883,3.9425000000000003,0.9033333333333333,4.128489583333334,2.964166666666667,0.265,7.14565625,8.450305601861638,1.2000000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_standard,train,20,2400,2.839583333333333,3.557291666666667,3.6666666666666665,0.9479166666666667,3.692994791666667,2.5329166666666674,0.5770833333333334,6.3413281249999995,8.28684501433004,1.2500000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_standard,eval,10,1200,3.28,3.7134169884169888,3.95,0.9966666666666667,4.0035,2.9333333333333336,0.5558333333333334,7.048,8.766683972615265,1.2500000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_loose,train,20,2400,2.6750000000000003,3.234187097983619,3.5933333333333337,0.9483333333333335,3.5246171875,2.3470833333333334,0.5979166666666667,5.991283854166666,7.384855922472774,1.35,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_loose,eval,10,1200,2.458333333333333,3.2256883116883115,3.605,0.9791666666666666,2.8659375000000002,1.8699999999999999,0.6266666666666667,4.861270833333334,6.711582213158891,1.35,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_compact,train,20,2400,3.0624999999999996,3.5231114765216907,3.8866666666666667,0.9983333333333334,4.348596354166666,3.0579166666666664,0.45541666666666664,7.4975963541666655,8.93472070211661,1.3,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_compact,eval,10,1200,2.4325,3.023154761904762,3.875,0.8841666666666667,3.389510416666666,2.4033333333333333,0.3241666666666666,5.857677083333334,8.214191705790297,1.3,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_standard,train,20,2400,2.86875,3.4759887005649714,3.879166666666667,0.9929166666666667,4.0071666666666665,2.7262499999999994,0.4445833333333334,6.822333333333333,8.722833829299471,1.35,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_standard,eval,10,1200,2.598333333333333,3.1225771540287672,3.95,0.9383333333333332,3.287833333333333,2.325,0.7908333333333334,5.770999999999999,7.604811468689766,1.35,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_loose,train,20,2400,2.5183333333333335,3.1302317913789452,3.7908333333333335,0.9441666666666668,3.459619791666667,2.166666666666667,0.4583333333333333,5.717953124999999,7.151129921518484,1.45,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_loose,eval,10,1200,2.3916666666666666,2.8561533463287847,3.9425000000000003,0.9458333333333332,2.567552083333333,1.6441666666666666,0.765,4.36471875,5.898843659799119,1.45,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_compact,train,20,2400,3.1758333333333337,3.515064516129032,3.9166666666666665,0.9491666666666667,4.490442708333333,3.2983333333333333,0.45583333333333337,7.879942708333333,9.736547329059828,1.2200000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_compact,eval,10,1200,3.2141666666666664,3.607857142857142,3.9425000000000003,0.9850000000000001,4.3421875,3.1141666666666667,0.3141666666666667,7.519187499999999,9.155021524058323,1.2200000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_standard,train,20,2400,2.93125,3.5613770053475933,3.9091666666666667,0.9466666666666667,3.667692708333333,2.6941666666666664,0.5979166666666667,6.481442708333333,8.130248602737984,1.2700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_standard,eval,10,1200,2.8191666666666664,3.422222222222222,3.9425000000000003,0.9375,3.786385416666667,2.6050000000000004,0.5516666666666666,6.501718749999999,8.374024394673125,1.2700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_loose,train,20,2400,2.6858333333333335,3.311323299710711,3.9091666666666667,0.9466666666666667,3.173375,2.3162499999999997,0.6024999999999999,5.610124999999999,7.026912605969359,1.37,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_loose,eval,10,1200,2.32,3.0360071301247773,3.3641666666666663,0.8691666666666666,3.0758125000000005,2.095833333333333,0.3691666666666667,5.245479166666667,6.75817857142857,1.37,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_compact,train,20,2400,3.089583333333333,3.5615634322795353,3.9166666666666665,0.9895833333333334,4.491851562500001,3.3016666666666667,0.3,7.853518229166667,10.094241497928829,1.3200000000000003,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_compact,eval,10,1200,2.785,3.305910991636798,3.9349999999999996,0.8983333333333334,4.181614583333333,2.911666666666667,0.2533333333333333,7.143947916666667,9.042560422282122,1.3200000000000003,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_standard,train,20,2400,2.8124999999999996,3.555864978902953,3.9008333333333334,0.9454166666666668,3.413270833333333,2.4866666666666664,0.5966666666666666,6.019270833333333,7.730798114595297,1.3700000000000003,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_standard,eval,10,1200,3.2575000000000003,3.7152027027027024,3.95,0.9975000000000002,4.128979166666667,2.9033333333333333,0.5733333333333335,7.146979166666668,8.619972893667121,1.3700000000000003,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_loose,train,20,2400,2.6054166666666667,3.2290981741123588,3.77,0.9445833333333333,3.1731354166666668,2.319166666666667,0.5295833333333333,5.59821875,6.912424018798866,1.4700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_loose,eval,10,1200,2.49,3.147446151409566,3.92,0.9691666666666666,2.7931875000000006,1.7833333333333332,0.75,4.726520833333334,6.580599299191739,1.4700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_compact,train,20,2400,2.995833333333333,3.517306570572976,3.841666666666667,0.9983333333333334,4.0957109375,3.006666666666667,0.45625,7.193627604166667,8.737309560700725,1.4200000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_compact,eval,10,1200,2.399166666666667,3.023441558441559,3.7625,0.8541666666666667,3.5006979166666667,2.361666666666667,0.31583333333333335,5.925531250000001,8.111647034588485,1.4200000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_standard,train,20,2400,2.787083333333333,3.3967137049941933,3.8625000000000003,0.9816666666666667,3.5911302083333334,2.668333333333334,0.43000000000000005,6.345463541666666,8.282171870598123,1.4700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_standard,eval,10,1200,2.569166666666667,2.9437694297342354,3.95,0.925,3.50875,2.2983333333333333,0.805,5.968083333333333,7.6974545120764875,1.4700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_loose,train,20,2400,2.4316666666666666,3.0348176552981387,3.7533333333333334,0.9387500000000001,2.8256249999999996,2.0983333333333336,0.43249999999999994,5.010458333333333,6.446028965015785,1.57,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_loose,eval,10,1200,2.3441666666666667,2.9347985347985346,3.9425000000000003,0.9158333333333335,2.647614583333333,1.6258333333333332,0.7391666666666666,4.42128125,5.910089595921063,1.57,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_compact,train,20,2400,3.2225,3.6150015155123514,3.9166666666666665,0.9558333333333333,4.6973697916666675,3.580416666666667,0.29583333333333334,8.336953124999999,10.286316957037016,1.15,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_compact,eval,10,1200,3.2591666666666663,3.5256974696233003,3.95,0.9991666666666668,5.511395833333333,3.734166666666666,0.19749999999999998,9.2850625,10.816721707045286,1.15,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_standard,train,20,2400,2.9529166666666664,3.4855526661854244,3.9166666666666665,0.9579166666666667,3.695135416666667,2.64375,0.6670833333333334,6.472302083333334,8.097895575476484,1.2,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_standard,eval,10,1200,2.8983333333333334,3.332300990830403,3.9425000000000003,0.9975000000000002,4.5527291666666665,2.7941666666666665,0.4058333333333334,7.4280625,9.286251611339452,1.2,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_loose,train,20,2400,2.565833333333333,3.1408646146575756,3.9166666666666665,0.9324999999999999,3.127807291666666,2.220833333333333,0.6191666666666668,5.4724739583333335,7.242303246354567,1.2999999999999998,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_loose,eval,10,1200,2.3075,2.814878048780488,3.941666666666667,0.9541666666666668,3.8116458333333334,2.171666666666667,0.38499999999999995,6.0603125,7.789706932032436,1.2999999999999998,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_compact,train,20,2400,2.924583333333333,3.4124787222581348,3.9016666666666664,0.94375,4.325802083333334,3.1037500000000002,0.27375000000000005,7.484302083333333,9.352873146499828,1.25,make_rectangular_convoy
