action_name,split,profiles,samples,expected_hits,CVaR_90,VaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss,summary_budget,n_trials_per_seed,complexity_cost,layout_type
rect_uniform_6x7_centered_alt_high_value_center_standard_standard,train,20,480,2.7854166666666673,3.4180618401206644,3.8375000000000004,0.9479166666666667,3.4375520833333333,2.4916666666666667,0.5833333333333333,6.045885416666666,7.668095121381886,screen_only,8,1.3700000000000003,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_standard,eval,10,240,3.295833333333333,3.6041666666666665,4.0,0.9958333333333333,4.20859375,2.975,0.5625,7.296093750000002,8.796805555555556,screen_only,8,1.3700000000000003,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_loose,train,20,2400,2.6054166666666667,3.2290981741123588,3.77,0.9445833333333333,3.1731354166666668,2.319166666666667,0.5295833333333333,5.59821875,6.912424018798866,full,40,1.4700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_loose,eval,10,1200,2.49,3.147446151409566,3.92,0.9691666666666666,2.7931875000000006,1.7833333333333332,0.75,4.726520833333334,6.580599299191739,full,40,1.4700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_compact,train,20,480,2.9541666666666666,3.3697884416924664,3.875,0.9979166666666668,4.103307291666666,3.0104166666666665,0.4395833333333333,7.2016406250000005,8.53594642857143,screen_only,8,1.4200000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_compact,eval,10,240,2.45,2.9105263157894736,3.8875,0.8458333333333334,3.5420312499999995,2.3833333333333337,0.3375,5.992864583333334,8.109467948717947,screen_only,8,1.4200000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_standard,train,20,480,2.7625,3.434761904761905,3.8375000000000004,0.9791666666666667,3.563893229166667,2.635416666666667,0.4291666666666666,6.285143229166666,8.2013923992674,screen_only,8,1.4700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_standard,eval,10,240,2.6041666666666665,2.9253846153846155,4.0,0.9375,3.5847916666666664,2.3416666666666672,0.8000000000000002,6.086458333333334,7.517608695652174,screen_only,8,1.4700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_loose,train,20,2400,2.4316666666666666,3.0348176552981387,3.7533333333333334,0.9387500000000001,2.8256249999999996,2.0983333333333336,0.43249999999999994,5.010458333333333,6.446028965015785,full,40,1.57,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_loose_loose,eval,10,1200,2.3441666666666667,2.9347985347985346,3.9425000000000003,0.9158333333333335,2.647614583333333,1.6258333333333332,0.7391666666666666,4.42128125,5.910089595921063,full,40,1.57,make_rectangular_convoy
