atk_base_bearing_rad,atk_launch_delay_mean,atk_mode,atk_n,atk_spread_rad,atk_torpedo_max_run_time,atk_torpedo_origin,atk_torpedo_speed,def_jitter_std,def_spacing_across,def_spacing_along,noise_p_dud,noise_sigma_heading_rad,noise_sigma_launch_delay,expected_hits,p_hit_ge_1,CVaR_90
-0.19338894578858837,1.2132715515343597,fan,4,0.325308095680109,763.0874974396269,(-2000.0, 0.0),27.294965609839984,1.6389409574477876,303.9573427527741,654.7846749285817,0.000547700034029619,0.04675362118938842,1.6317071082430643,3.84,1.0,6.142857142857143
0.06547349573159088,0.32788530641565194,fan,6,0.2999822999704857,706.6911259145357,(-2000.0, 0.0),26.89301736930184,5.470691392708522,335.8741386589525,667.491251904822,0.05474623404667927,0.045755930744484155,1.5030793752167826,7.04,1.0,10.375
-0.08162218936964334,1.6765889805118819,fan,4,0.3934811766425663,755.7287240371639,(-2000.0, 0.0),21.63683394834633,6.139542115870182,428.98722176720577,475.48832344018757,0.07538070236000527,0.0479099989961894,0.23785979136132807,4.08,1.0,6.571428571428571
0.06828546212211983,1.4164648302968668,fan,2,0.09265158120978155,609.0879472459835,(-2000.0, 0.0),24.693399757146036,5.578617630858029,446.036378915571,554.7116650315602,0.019483250310165623,0.002232896262690337,0.5918054839415636,1.92,1.0,2.0
0.15809907385109626,0.7300205229203929,fan,6,0.12547449101282387,794.0170381610434,(-2000.0, 0.0),23.35073919706349,15.260446694622608,422.59707238994883,416.81709613996776,0.01688805634943771,0.038776724558482134,0.28253368787255106,6.32,1.0,10.5
0.016379335912902884,0.4974459842925876,fan,4,0.10399285891556596,733.702267785997,(-2000.0, 0.0),21.951372227842807,37.343776068354785,434.88273583547385,568.6869630959133,0.1426839061573716,0.03614473612313787,0.06804467889971266,2.62,0.84,6.166666666666667
-0.13323053795729667,0.9055188283313229,fan,6,0.3774781204028524,873.0782515328192,(-2000.0, 0.0),24.276432864555723,9.02018242190639,352.1813582316246,656.5872895702373,0.14212534292865828,0.0117711358761892,0.4426600177127926,5.48,1.0,7.4
-0.13642249373194631,1.8190800315607418,fan,4,0.01952244485635264,637.9777237207516,(-2000.0, 0.0),25.45874952065777,6.850129916408143,357.3774955161655,417.5305113492632,0.015124563442872985,0.007362105267396813,1.8757094257331928,1.08,0.74,2.1333333333333333
-0.16594570753493257,1.3595838540251495,fan,2,0.2580508034460767,737.1072658788196,(-2000.0, 0.0),21.105911068157173,3.2348325169669057,395.1575549474966,433.17554012815333,0.13895085685674477,0.012562744167197243,0.5584200242886512,1.34,0.82,3.2857142857142856
-0.17418515284101155,1.4894217753143288,fan,6,0.22713183856573577,694.5088284695524,(-2000.0, 0.0),20.014892079536406,6.431860855399627,417.0014792436592,440.7353297429358,0.15510062552383053,0.006616388227763348,1.0853683572968642,5.72,1.0,7.266666666666667
0.05179435387512581,0.9908230054632239,fan,2,0.07023752832127594,818.3903674647593,(-2000.0, 0.0),25.372792804252022,10.553238385043674,363.74717198220804,471.2907735981327,0.04187879480323058,0.030387018761703834,1.6687245147810046,2.92,1.0,5.4
-0.06040597152878613,0.6144758648368731,fan,6,0.25442576474653744,844.7525214988073,(-2000.0, 0.0),29.220066561000085,25.06009108157382,291.5450612971915,465.7973782813899,0.1396712738175447,0.03440337904704992,1.2492431729980589,7.94,1.0,13.2
-0.16269441192618112,1.1910235212147313,fan,2,0.0777406148416632,625.700583049606,(-2000.0, 0.0),25.5706859245337,14.752475340613032,328.11884107875835,496.7745758533903,0.1437609456373017,0.045447876932271036,1.5230572843146424,2.4,0.96,4.2
-0.1612814520072301,0.9840358978831696,fan,4,0.24089819064382773,824.1766033073588,(-2000.0, 0.0),20.43714296573283,6.298700687565515,330.8149406225628,578.2280389692421,0.13339271655662363,0.011404976295389935,0.42166232009902127,4.12,1.0,6.222222222222222
