epoch,train_loss,train_recon_loss,train_kl_loss,valid_loss,valid_recon_loss,valid_kl_loss
1,0.805673938583244,0.738481264222752,2.2397558867338705,0.5759049475193023,0.43847493529319764,4.58100061416626
2,0.47087337449193,0.2991484583101489,5.72416399825703,0.43692341446876526,0.25923133045434954,5.923069810867309
3,0.3849615908481858,0.18809583139690486,6.562192169102755,0.35795930922031405,0.1517835959792137,6.872523975372315
4,0.35531497103246773,0.14927848022092471,6.867883183739402,0.35164663195610046,0.14254206866025926,6.970152187347412
5,0.3505103279921142,0.1448514678261497,6.855295479297638,0.3480185091495514,0.14202733486890792,6.866372776031494
6,0.3467071916569363,0.14015228318219836,6.885163729841059,0.3447496950626373,0.13560363948345183,6.9715352058410645
7,0.34294763613830914,0.13613790561529723,6.893657798116857,0.3413806527853012,0.14126683473587037,6.670460844039917
8,0.340607515451583,0.13355368265712803,6.901794639500705,0.34005763232707975,0.13268227279186248,6.912512397766113
9,0.3386774682863192,0.13132818348028444,6.911642990329049,0.3375665366649628,0.13181857913732528,6.85826563835144
10,0.33715100620280614,0.1298980468206785,6.908432131463831,0.336601984500885,0.13203616291284562,6.81886100769043
11,0.3357400213452903,0.1287364796312018,6.900118275122209,0.33552977442741394,0.12701141759753226,6.950612115859985
12,0.334380984983661,0.12694903640923175,6.914398448033766,0.3340175747871399,0.12839232236146927,6.854175281524658
13,0.3340858878059821,0.12646012016656724,6.92085908759724,0.33355818688869476,0.1272157035768032,6.878082990646362
14,0.3338276632130146,0.1256752319803292,6.938414541157809,0.331939834356308,0.12301188856363296,6.964264917373657
15,0.332665392620997,0.124917412515391,6.924932864579287,0.3322194516658783,0.12366610467433929,6.951778173446655
16,0.3321462734179063,0.12391294733705846,6.941111087799072,0.3317387461662292,0.12496911063790321,6.89232120513916
17,0.3324755582619797,0.12345767249776558,6.967262988740748,0.3312152296304703,0.12217577174305916,6.967982149124145
18,0.3308479423550042,0.12286902794783766,6.932630636475303,0.3330690413713455,0.12745839655399321,6.853688478469849
19,0.3309980681674047,0.12246042193675583,6.951255093921315,0.3307656615972519,0.1209904320538044,6.992508029937744
20,0.3301381472159516,0.12154242675751448,6.953190895644101,0.3305681198835373,0.11924434080719948,7.044125986099243
21,0.3298149058087306,0.12105397160419008,6.958697958426042,0.32883823215961455,0.11875261664390564,7.002854108810425
