,count,mean,std,min,25%,50%,75%,max
range_score,1000.0,0.5219630900687542,0.35338655937484337,6.020935313436386e-07,0.1550094664771834,0.5710045596403557,0.8654012838405829,0.999999787375998
bearing_alignment_score,1000.0,0.9134751458413067,0.19668291967093318,1.937475165397773e-05,0.9473011101518916,0.9773921840821,0.9946036567608578,0.9999995561924467
aspect_score,1000.0,0.74263330188026,0.28643170971790693,0.0009013733363159082,0.5434455194043877,0.8777418822257623,0.9888469843134867,0.9999999943722478
spread_score,1000.0,0.9164011205536428,0.07331685961406252,0.6815283178308983,0.8576978405367617,0.9340049466874007,0.9843178039427516,0.9999997764946426
contact_score,1000.0,0.8492857142857144,0.04950677032551371,0.6904761904761905,0.8095238095238095,0.8571428571428571,0.8809523809523809,1.0
inside_score,1000.0,0.21,0.4075120440748544,0.0,0.0,0.0,0.0,1.0
uncertainty_score,1000.0,0.07561205667391126,0.01889646756553295,0.06374850199629332,0.06815159864651833,0.07026224796222019,0.07429949838983277,0.33312915776881047
