profile_id,name,mode,u_pos_x,u_pos_y,range_to_centroid_m,intent_bearing_rad,active_bearing_rad,bearing_error_deg,spread_deg,flag_count,flags,severity,suggested_label
P26,profile_26,fan,350.0,-2100.0,2128.966885604377,1.7359450042095235,1.8931,9.004317988190524,13.99735893504601,0,,10.805181585828628,credible_near_miss
P27,profile_27,fan,0.0,1100.0,1100.0,-1.5707963267948966,4.8695,9.001798338954394,13.99735893504601,0,,10.802158006745273,credible_near_miss
P28,profile_28,fan,-2800.0,200.0,2807.13376952364,-0.07130746478529032,0.0858,9.001594662197329,13.99735893504601,0,,10.801913594636794,credible_near_miss
P29,profile_29,fan,-3200.0,900.0,3324.1540277189324,-0.2741674511196588,6.1661,9.00014388463269,13.99735893504601,0,,10.800172661559229,credible_near_miss
P30,profile_30,fan,-3000.0,-900.0,3132.091952673165,0.2914567944778671,0.4485,8.997912877623799,13.99735893504601,0,,10.797495453148558,credible_near_miss
P19,profile_19,fan,-150.0,1900.0,1905.9118552545917,-1.4920123658057527,4.88692,5.485902360070996,5.001921551492087,0,,6.5830828320851955,credible_hit_threat
P47,profile_47_east_abeam_long_uniform_narrow_4,fan,3196.633683,124.752337,3199.067059140384,-3.102586288499418,-3.040424,3.56163677589129,3.999990255146816,0,,4.2739641310695475,credible_hit_threat
P32,profile_32_south_east_quarter_long_uniform_narrow_4,fan,1753.539823,-2532.452726,3080.295232647628,2.1764219526561552,2.116176,3.451838819942676,3.999990255146816,0,,4.142206583931211,credible_hit_threat
P52,profile_52_south_east_quarter_long_uniform_narrow_4,fan,1838.74133,-2744.657635,3303.651799450717,2.1610579887823262,2.103106,3.3204043716167893,3.999990255146816,0,,3.9844852459401467,credible_hit_threat
P39,profile_39_east_abeam_medium_uniform_wide_4,fan,2087.567402,-8.176417,2087.5834143065968,3.1376759536155023,-3.08931,3.219985770585521,6.0000140306099805,0,,3.863982924702625,credible_hit_threat
P46,profile_46_north_east_quarter_long_uniform_wide_4,fan,1838.690853,2525.947279,3124.2909130222447,-2.2000166906886487,-2.146688,3.055508903418173,6.0000140306099805,0,,3.666610684101807,credible_hit_threat
P56,profile_56_south_west_quarter_close_uniform_medium_4,fan,-622.962938,-878.76829,1077.1798965962537,0.9541190461615451,0.901168,3.0338714658589265,4.999973494988642,0,,3.6406457590307117,credible_hit_threat
P54,profile_54_north_west_quarter_long_uniform_wide_4,fan,-1888.500727,2378.921827,3037.3844101227205,-0.899818292043805,-0.949596,2.8520525797247376,6.0000140306099805,0,,3.422463095669685,credible_hit_threat
P60,profile_60_north_west_quarter_medium_uniform_wide_4,fan,-1123.806943,1738.036434,2069.713190528205,-0.9968179875206347,-1.042677,2.627527867705399,6.0000140306099805,0,,3.1530334412464787,credible_hit_threat
P37,profile_37_south_west_quarter_medium_uniform_wide_4,fan,-1356.983018,-1930.177199,2359.446318668826,0.958036043741444,0.912473,2.6105701081546906,6.0000140306099805,0,,3.1326841297856287,credible_hit_threat
P40,profile_40_east_abeam_long_uniform_narrow_4,fan,3067.212798,71.126048,3068.0373633512168,-3.118407661947423,-3.076223,2.417003089773455,3.999990255146816,0,,2.900403707728146,credible_hit_threat
P44,profile_44_south_west_quarter_medium_uniform_medium_4,fan,-1278.08848,-1762.504621,2177.1386500990384,0.943386751948305,0.90638,2.1203307001254283,4.999973494988642,0,,2.544396840150514,credible_hit_threat
P24,profile_24,fan,-3000.0,-900.0,3132.091952673165,0.2914567944778671,0.261799,1.6992664532481707,5.006505213853133,0,,2.0391197438978046,credible_hit_threat
P53,profile_53_south_east_quarter_medium_uniform_medium_4,fan,1348.602598,-1927.411681,2352.370029435759,2.1813183586563403,2.154102,1.5593824847226438,4.999973494988642,0,,1.8712589816671725,credible_hit_threat
P38,profile_38_south_west_quarter_long_uniform_medium_4,fan,-1813.735317,-2751.04895,3295.1337037257217,0.9879189969043958,0.961225,1.5294533609571626,4.999973494988642,0,,1.835344033148595,credible_hit_threat
P33,profile_33_north_west_quarter_medium_uniform_narrow_4,fan,-1153.671935,1757.050014,2101.9475933771623,-0.989798196096796,-0.963131,1.5279177877941479,3.999990255146816,0,,1.8335013453529774,credible_hit_threat
P36,profile_36_east_abeam_close_uniform_medium_4,fan,1107.547717,-6.471043,1107.5666209440494,3.1357500435889154,-3.120931,1.5185824428476589,4.999973494988642,0,,1.8222989314171905,credible_hit_threat
P43,profile_43_east_abeam_long_uniform_medium_4,fan,3277.51655,-222.654126,3285.070713903846,3.0737630784664396,3.047605,1.4987474962990353,4.999973494988642,0,,1.7984969955588423,credible_hit_threat
P55,profile_55_north_west_quarter_long_uniform_wide_4,fan,-2058.199289,2561.880006,3286.2461073971112,-0.8939892334584627,-0.868097,1.4835156993373253,6.0000140306099805,0,,1.7802188392047904,credible_hit_threat
P31,profile_31_south_west_quarter_medium_uniform_medium_4,fan,-1222.158836,-1838.865415,2207.962462293233,0.984207419541491,1.009447,1.446121436953423,4.999973494988642,0,,1.7353457243441075,credible_hit_threat
P41,profile_41_south_west_quarter_close_uniform_wide_4,fan,-756.778667,-1068.302087,1309.1918499268365,0.9544590686699206,0.979489,1.4341094267158374,6.0000140306099805,0,,1.7209313120590048,credible_hit_threat
P51,profile_51_south_east_quarter_long_uniform_medium_4,fan,1838.31629,-2556.277346,3148.644256144566,2.194251473712901,2.213761,1.1178135165503085,4.999973494988642,0,,1.34137621986037,credible_hit_threat
P34,profile_34_east_abeam_medium_uniform_wide_4,fan,2242.708366,100.027756,2244.9379427718677,-3.0970208720316945,-3.113013,0.9162814380170299,6.0000140306099805,0,,1.0995377256204357,credible_hit_threat
P22,profile_22,fan,-2800.0,200.0,2807.13376952364,-0.07130746478529032,6.19592,0.914317019328145,5.998868115019719,0,,1.097180423193774,credible_hit_threat
P57,profile_57_south_west_quarter_close_uniform_wide_4,fan,-690.996993,-1076.782973,1279.4289410818253,1.0002613689791715,0.986756,0.7738006432734342,6.0000140306099805,0,,0.928560771928121,credible_hit_threat
P48,profile_48_north_east_quarter_medium_uniform_wide_4,fan,1205.168056,1889.332132,2240.9832547813658,-2.138604426667123,-2.152055,0.7706610840050605,6.0000140306099805,0,,0.9247933008060726,credible_hit_threat
P58,profile_58_west_abeam_long_uniform_wide_4,fan,-3196.3866,-181.170973,3201.5168620698105,0.056619351136876356,0.043207,0.768471113490499,6.0000140306099805,0,,0.9221653361885987,credible_hit_threat
P08,profile_08,fan,2600.0,-3200.0,4123.105625617661,2.2531128816696446,2.24,0.7513127769250852,5.001921551492087,0,,0.9015753323101022,credible_hit_threat
P49,profile_49_south_east_quarter_close_uniform_wide_4,fan,720.674797,-960.456595,1200.7701836363133,2.2145188606416975,2.20145,0.748790557813902,6.0000140306099805,0,,0.8985486693766824,credible_hit_threat
P35,profile_35_east_abeam_close_uniform_narrow_4,fan,1297.077187,-4.888837,1297.0864002690976,3.1378235534171015,-3.135013,0.5929399138105158,3.999990255146816,0,,0.711527896572619,credible_hit_threat
P01,profile_01,fan,2600.0,3200.0,4123.105625617661,-2.2531128816696446,4.04,0.5688081190820886,3.9992454100131463,0,,0.6825697428985064,credible_hit_threat
P50,profile_50_north_east_quarter_medium_uniform_wide_4,fan,1151.568345,1913.492487,2233.2852820478365,-2.1125492651239646,-2.103183,0.5366474614037453,6.0000140306099805,0,,0.6439769536844944,credible_hit_threat
P45,profile_45_north_west_quarter_medium_uniform_medium_4,fan,-1161.212372,1682.645572,2044.433978845263,-0.9667380924260814,-0.958002,0.5005412254506632,4.999973494988642,0,,0.6006494705407958,credible_hit_threat
P10,profile_10,fan,2200.0,-3500.0,4134.005321718878,2.131959739083249,2.14,0.4606730167138265,5.001921551492087,0,,0.5528076200565918,credible_hit_threat
P42,profile_42_north_west_quarter_close_uniform_medium_4,fan,-665.529402,1080.866212,1269.3309864529845,-1.0188857363634967,-1.013561,0.30508492064820036,4.999973494988642,0,,0.36610190477784044,credible_hit_threat
P17,profile_17,fan,-500.0,-1900.0,1964.68827043885,1.313472611823808,1.309,0.25626178090452617,5.998868115019719,0,,0.3075141370854314,credible_hit_threat
P07,profile_07,fan,2000.0,3000.0,3605.5512754639894,-2.158798930342464,4.12,0.25132088012101805,5.001921551492087,0,,0.30158505614522163,credible_hit_threat
P02,profile_02,fan,3000.0,2600.0,3969.8866482558415,-2.427501954977635,3.86,0.24732570047265864,5.998868115019719,0,,0.29679084056719035,credible_hit_threat
P12,profile_12,fan,2400.0,-2500.0,3465.544690232691,2.335789159505807,2.34,0.2412633885200383,5.998868115019719,0,,0.28951606622404596,credible_hit_threat
P06,profile_06,fan,3200.0,1400.0,3492.849839314596,-2.729182211992406,3.55,0.22936045921454026,3.9992454100131463,0,,0.2752325510574483,credible_hit_threat
P04,profile_04,fan,2800.0,1800.0,3328.6633954186477,-2.5702551737561663,3.71,0.16788427857213264,5.001921551492087,0,,0.20146113428655918,credible_hit_threat
P59,profile_59_north_west_quarter_close_uniform_narrow_4,fan,-719.474553,1069.16298,1288.702102976879,-0.9784683511093665,-0.981272,0.16063724866985096,3.999990255146816,0,,0.19276469840382116,credible_hit_threat
P05,profile_05,fan,2400.0,2500.0,3465.544690232691,-2.335789159505807,3.95,0.14918974876777608,5.998868115019719,0,,0.1790276985213313,credible_hit_threat
P09,profile_09,fan,3000.0,-2600.0,3969.8866482558415,2.427501954977635,2.43,0.1431274368151812,5.998868115019719,0,,0.17175292417821744,credible_hit_threat
P03,profile_03,fan,2200.0,3500.0,4134.005321718878,-2.131959739083249,4.15,0.07021987942603755,5.001921551492087,0,,0.08426385531124506,credible_hit_threat
P13,profile_13,fan,3200.0,-1400.0,3492.849839314596,2.729182211992406,2.73,0.046855801371543646,5.001921551492087,0,,0.05622696164585237,credible_hit_threat
P11,profile_11,fan,2800.0,-1800.0,3328.6633954186477,2.5702551737561663,2.57,0.014620379270838535,5.998868115019719,0,,0.017544455125006242,credible_hit_threat
P20,profile_20,fan,350.0,-2100.0,2128.966885604377,1.7359450042095235,1.736,0.003151026685277623,3.9992454100131463,0,,0.0037812320223331477,credible_hit_threat
P25,profile_25,fan,3600.0,-1100.0,3764.3060449437426,2.845046844520093,2.845,0.002683993294629613,3.9992454100131463,0,,0.003220791953555536,credible_hit_threat
P15,profile_15,fan,100.0,-900.0,905.5385138137417,1.6814535479687922,1.6815,0.0026615053380162827,5.001921551492087,0,,0.0031938064056195392,credible_hit_threat
P16,profile_16,fan,400.0,900.0,984.8857801796105,-1.9890206563741257,4.2942,0.002025359656351906,3.9992454100131463,0,,0.002430431587622287,credible_hit_threat
P18,profile_18,fan,250.0,-2500.0,2512.4689052802228,1.6704649792860586,1.6705,0.0020065391043677964,5.001921551492087,0,,0.0024078469252413557,credible_hit_threat
P14,profile_14,fan,-300.0,700.0,761.5773105863908,-1.1659045405098132,5.1173,0.0011019886480468772,5.001921551492087,0,,0.0013223863776562525,credible_hit_threat
P23,profile_23,fan,-3200.0,900.0,3324.1540277189324,-0.2741674511196588,6.009,0.0010230768725301535,5.001921551492087,0,,0.001227692247036184,credible_hit_threat
P21,profile_21,fan,0.0,1100.0,1100.0,-1.5707963267948966,4.7124,0.0006313774491731337,5.998868115019719,0,,0.0007576529390077605,credible_hit_threat
