model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P26,24,4.0,4.0,1.0,3.96875,3.0,1.0,7.16875,9.149999999999999
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P29,24,2.875,3.0,1.0,11.93125,7.875,0.0,19.806250000000002,25.599999999999998
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P01,24,2.5416666666666665,3.1666666666666665,1.0,1.5625000000000002,1.2916666666666667,1.25,3.1041666666666665,6.033333333333332
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P02,24,3.375,4.0,1.0,3.7666666666666657,2.6666666666666665,0.7083333333333334,6.575,8.08
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P04,24,1.9583333333333333,3.0,1.0,2.275,1.0833333333333333,0.875,3.5333333333333328,4.58
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P05,24,3.0833333333333335,4.0,1.0,3.787499999999999,2.625,0.4583333333333333,6.504166666666666,7.3999999999999995
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P06,24,1.875,3.0,1.0,2.6249999999999996,1.25,0.625,3.9999999999999996,6.199999999999999
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P07,24,1.9583333333333333,3.0,1.0,2.633333333333333,2.1666666666666665,0.16666666666666666,4.833333333333333,7.1
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P09,24,3.4583333333333335,4.0,1.0,4.352083333333333,3.125,0.375,7.552083333333333,9.25
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P11,24,1.9166666666666667,3.0,1.0,3.5875,1.7083333333333333,0.25,5.345833333333334,6.3999999999999995
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P15,24,2.75,3.125,1.0,3.15,2.0,0.75,5.3,5.375
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P16,24,1.125,2.1666666666666665,0.8333333333333334,1.7499999999999998,0.8333333333333334,0.2916666666666667,2.641666666666667,3.3333333333333335
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P17,24,3.875,4.0,1.0,6.905208333333333,6.416666666666667,0.0,13.321874999999999,14.591964285714285
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P18,24,3.875,4.0,1.0,3.7999999999999994,2.6666666666666665,1.2083333333333333,6.708333333333333,7.349999999999997
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P19,24,3.7916666666666665,4.0,1.0,5.058333333333333,3.9583333333333335,0.20833333333333334,9.058333333333332,11.860000000000001
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P21,24,1.2916666666666667,2.0,0.875,1.4479166666666667,1.4583333333333333,0.0,2.90625,4.525
