model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost
rl_policy,P03,120,1.775,3.0,0.9833333333333333,
rl_policy,P08,120,3.2666666666666666,4.0,1.0,
rl_policy,P10,120,2.125,3.0416666666666665,1.0,
rl_policy,P12,120,2.75,3.108433734939759,1.0,
rl_policy,P13,120,2.2916666666666665,3.0,1.0,
rl_policy,P14,120,3.908333333333333,4.0,1.0,
rl_policy,P20,120,2.6333333333333333,3.051948051948052,1.0,
rl_policy,P23,120,2.591666666666667,3.0694444444444446,1.0,
rl_policy,P26,120,2.575,3.1451612903225805,1.0,
rl_policy,P29,120,1.7333333333333334,2.0,0.975,
