source_id,source_label,run_dir,evaluated_profile_limit,pool_expected_hits,pool_expected_unique_ships_hit,pool_expected_repeat_hits,pool_value_lost,pool_expected_loss,pool_p_hit_ge_1,top_k_expected_hits,top_k_expected_unique_ships_hit,top_k_value_lost,top_k_expected_loss,best_profile_id,best_spawn_region,best_expected_hits,best_expected_unique_ships_hit,best_expected_loss
p01_p60,P01-P60 fixed library,results/runs/candidate_pool_eval/20260512_143716_vae_final_baseline_p01_p60,all,2.925555555555556,1.6199999999999999,1.3055555555555556,1.675388888888889,3.5564999999999998,0.9844444444444443,2.9120000000000004,2.1786666666666665,2.2462,4.571533333333333,P27,inside_convoy_envelope,4.0,3.3,6.780000000000001
curated_v4_direct,Direct curated v4 synthetic,results/runs/candidate_pool_eval/20260512_143727_vae_final_baseline_curated_v4_direct,all,3.1738666666666666,1.6205999999999998,1.5532666666666666,1.6751566666666668,3.6064100000000003,0.9991333333333333,3.8786666666666667,3.168,3.2896000000000005,6.599733333333334,T028529,outside_perimeter,4.0,4.0,8.050000000000002
mixed_vae,Mixed 70/30 VAE candidates,results/runs/candidate_pool_eval/20260512_144030_vae_final_baseline_mixed_vae,all,2.8688000000000002,1.7409666666666668,1.1278333333333332,1.789608333333333,3.7561416666666663,0.9850333333333333,3.850666666666667,3.18,3.2932,6.607333333333335,VAE000124,starboard,3.966666666666667,3.966666666666667,7.98166666666667
