model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss
rl_policy,P03,120,1.8833333333333333,3.0,0.9916666666666667,4.255,2.3,0.05,6.5649999999999995,8.549999999999999
rl_policy,P08,120,3.216666666666667,4.0,1.0,3.4581250000000012,2.2,1.0166666666666666,5.861458333333333,7.525
rl_policy,P10,120,2.216666666666667,3.0526315789473686,1.0,5.0962499999999995,2.7333333333333334,0.025,7.834583333333332,8.554123711340203
rl_policy,P12,120,2.65,3.1285714285714286,1.0,1.8858333333333335,1.875,0.775,3.9158333333333335,6.050000000000001
rl_policy,P13,120,2.183333333333333,3.0285714285714285,1.0,1.5975000000000004,1.775,0.4083333333333333,3.454166666666666,4.005714285714285
rl_policy,P14,120,3.95,4.0,1.0,6.3118750000000015,3.908333333333333,0.23333333333333334,10.266875,11.83988095238095
rl_policy,P20,120,2.65,3.076923076923077,1.0,1.25875,1.3416666666666666,1.3083333333333333,2.8620833333333335,4.155882352941177
rl_policy,P23,120,2.525,3.0704225352112675,0.9916666666666667,1.8050000000000002,1.8833333333333333,0.65,3.8183333333333334,5.713333333333334
rl_policy,P26,120,2.5166666666666666,3.1454545454545455,1.0,3.265625000000001,2.058333333333333,0.4583333333333333,5.415625,7.177173913043478
rl_policy,P29,120,1.8666666666666667,2.0,1.0,3.0631250000000003,2.2916666666666665,0.0,5.354791666666667,7.410869565217388
