model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss
static_baseline,P03,120,1.8833333333333333,3.0,0.9916666666666667,4.021833333333333,2.3,0.05,7.496833333333332,9.739999999999997
static_baseline,P08,120,3.216666666666667,4.0,1.0,3.304416666666667,2.2,1.0166666666666666,7.11275,9.170000000000002
static_baseline,P10,120,2.216666666666667,3.0526315789473686,1.0,4.809500000000001,2.7333333333333334,0.025,8.921999999999999,9.750309278350514
static_baseline,P12,120,2.65,3.1285714285714286,1.0,1.8858333333333335,1.875,0.775,5.0858333333333325,7.775000000000002
static_baseline,P13,120,2.183333333333333,3.0285714285714285,1.0,1.5975000000000004,1.775,0.4083333333333333,4.4641666666666655,5.314285714285715
static_baseline,P14,120,3.95,4.0,1.0,6.023750000000001,3.908333333333333,0.23333333333333334,12.002916666666666,14.078809523809522
static_baseline,P20,120,2.65,3.076923076923077,1.0,1.25875,1.3416666666666666,1.3083333333333333,3.925416666666666,5.46470588235294
static_baseline,P23,120,2.525,3.0704225352112675,0.9916666666666667,1.7921666666666667,1.8833333333333333,0.65,4.942166666666666,7.063999999999999
static_baseline,P26,120,2.5166666666666666,3.1454545454545455,1.0,3.1119166666666667,2.058333333333333,0.4583333333333333,6.428583333333332,8.600434782608694
static_baseline,P29,120,1.8666666666666667,2.0,1.0,2.9658333333333338,2.2916666666666665,0.0,6.403333333333335,8.754565217391304
heuristic_baseline,P03,120,2.683333333333333,3.08974358974359,1.0,4.026166666666665,1.8416666666666666,0.8416666666666667,7.2095,7.885454545454547
heuristic_baseline,P08,120,3.225,4.0,1.0,3.8369166666666676,2.6416666666666666,0.6583333333333333,8.128583333333333,9.169999999999998
heuristic_baseline,P10,120,3.175,4.0,1.0,4.303833333333334,1.9833333333333334,1.1916666666666667,7.874666666666669,8.34
heuristic_baseline,P12,120,3.033333333333333,4.0,1.0,2.836666666666667,2.8333333333333335,0.275,7.224166666666666,8.0
heuristic_baseline,P13,120,1.75,2.045977011494253,0.9916666666666667,1.3875000000000002,1.5416666666666667,0.23333333333333334,3.8166666666666655,4.822727272727273
heuristic_baseline,P14,120,3.941666666666667,4.0,1.0,6.450541666666667,4.591666666666667,0.058333333333333334,13.367208333333334,16.505
heuristic_baseline,P20,120,0.6833333333333333,1.1081081081081081,0.6166666666666667,0.6423333333333334,0.6666666666666666,0.025,1.6548333333333332,2.683513513513513
heuristic_baseline,P23,120,1.775,2.0434782608695654,0.975,1.5243333333333335,1.625,0.225,4.074333333333332,5.0502702702702695
heuristic_baseline,P26,120,2.975,3.0085470085470085,1.0,2.7850000000000006,1.6833333333333333,1.3,5.96,6.576172839506174
heuristic_baseline,P29,120,1.8416666666666666,2.0,1.0,3.2235833333333335,2.658333333333333,0.0,7.211083333333334,11.120666666666667
