epoch,train_loss,train_recon_loss,train_kl_loss,valid_loss,valid_recon_loss,valid_kl_loss
1,1.000907875597477,0.9985135897994042,0.047885647416114806,1.0037750005722046,0.9998838379979134,0.07782327011227608
2,0.960524120926857,0.9422496080398559,0.3654903909191489,0.9121986329555511,0.8603662103414536,1.0366485565900803
3,0.7928626015782356,0.6905150070786477,2.0469519227743147,0.7121021747589111,0.5843537598848343,2.554968446493149
4,0.6689986482262611,0.5260051377117634,2.859870195388794,0.6479164958000183,0.4921002462506294,3.1163248419761658
5,0.640988664329052,0.48819458931684495,3.0558813989162443,0.6436057910323143,0.4888247773051262,3.0956203937530518
6,0.6314092293381691,0.4802206069231033,3.0237724483013153,0.6334590390324593,0.4838074669241905,2.9930314421653748
7,0.6206044435501099,0.46864021345973017,3.039284515380859,0.632457971572876,0.48241185024380684,3.000922530889511
8,0.6094544246792793,0.4571238666772842,3.0466109693050383,0.6117714419960976,0.45498649030923843,3.1356990337371826
9,0.5796515077352524,0.4090286634862423,3.4124567806720734,0.5674077197909355,0.3780813701450825,3.7865267395973206
10,0.5570807561278344,0.3698942832648754,3.743729370832443,0.5582758262753487,0.3701784834265709,3.761946886777878
11,0.549578744918108,0.3593169651925564,3.8052355110645295,0.54986172914505,0.35993923619389534,3.7984496653079987
12,0.54216877669096,0.35446648448705675,3.7540458381175994,0.5529197454452515,0.3633152060210705,3.792090564966202
13,0.5406430050730705,0.3481160633265972,3.8505387127399446,0.5438917726278305,0.35217852145433426,3.834264814853668
14,0.5358131669461728,0.3434321880340576,3.847619479894638,0.5375633016228676,0.34199491515755653,3.9113678336143494
15,0.5276612974703312,0.33124346286058426,3.9283566951751707,0.5258024521172047,0.3254661597311497,4.0067258477211
16,0.5195947654545308,0.3187697224318981,4.016500794887543,0.5280786603689194,0.3254534564912319,4.052504062652588
17,0.5109896674752236,0.3086183361709118,4.047426551580429,0.517396830022335,0.3082624189555645,4.182688117027283
18,0.5094350822269916,0.30059742704033854,4.176752912998199,0.5117865912616253,0.30675366148352623,4.100658357143402
19,0.5048692859709263,0.29699418023228646,4.15750207901001,0.5058846473693848,0.2982940301299095,4.151812314987183
20,0.5020007714629173,0.2938085339963436,4.163844609260559,0.5055125690996647,0.2980280853807926,4.149689495563507
21,0.49769026041030884,0.28910706043243406,4.171663987636566,0.4969680681824684,0.288688275963068,4.165595591068268
22,0.4958976820111275,0.2866083480417728,4.185786634683609,0.4977981820702553,0.28673506155610085,4.221262335777283
23,0.4953293830156326,0.2849456835538149,4.207673895359039,0.4985669329762459,0.28756681084632874,4.220002472400665
24,0.48714846894145014,0.27845270968973634,4.173915088176727,0.49573562666773796,0.28691254556179047,4.1764615178108215
25,0.48792640715837476,0.2789228163659573,4.1800718069076535,0.49124857038259506,0.27878744900226593,4.249222278594971
26,0.48582356721162795,0.27393445186316967,4.2377821683883665,0.48827511072158813,0.27899471297860146,4.1856077909469604
27,0.48417871743440627,0.2721349708735943,4.240874862670898,0.4891304671764374,0.27658396400511265,4.250929951667786
28,0.4832394927740097,0.2709163535386324,4.246462619304657,0.490979116410017,0.2776005510240793,4.267571210861206
29,0.4802162729203701,0.2663653437048197,4.277018511295319,0.48447954282164574,0.2737104333937168,4.2153820395469666
30,0.47766243070364,0.2641133774071932,4.27098103761673,0.48244403302669525,0.2636780235916376,4.375320136547089
31,0.47272655591368673,0.25722770765423775,4.309976899623871,0.4786887541413307,0.2622038181871176,4.32969868183136
32,0.4663580618798733,0.24834734871983527,4.360214173793793,0.47035055980086327,0.2521450538188219,4.364110171794891
33,0.45894823893904685,0.2398369237780571,4.382226264476776,0.4696209244430065,0.24877222254872322,4.416973888874054
34,0.45260914862155915,0.23020364679396152,4.448109984397888,0.45841772481799126,0.2317272648215294,4.533809125423431
35,0.4456449538469315,0.21688962168991566,4.575106573104859,0.44568149745464325,0.21126391552388668,4.6883514523506165
36,0.4399736948311329,0.20715680606663228,4.656337702274323,0.4416733868420124,0.2060527727007866,4.712412178516388
37,0.4305597297847271,0.19536138623952864,4.703966808319092,0.44226181879639626,0.20349370129406452,4.775362432003021
38,0.43137130290269854,0.19167698360979557,4.793886327743531,0.4362083300948143,0.19635883904993534,4.796989858150482
39,0.42568867430090906,0.18320065960288048,4.84976019859314,0.4304364547133446,0.1872697789222002,4.863333463668823
40,0.42284191846847535,0.17978391759097576,4.861159980297089,0.4285275600850582,0.18970183283090591,4.77651447057724
41,0.42254702374339104,0.1777423292398453,4.89609386920929,0.4223489761352539,0.1702474895864725,5.042029500007629
42,0.42100685015320777,0.1726875886321068,4.966385126113892,0.4219932593405247,0.17305052280426025,4.978854656219482
43,0.4160663723945618,0.1701651331037283,4.918024706840515,0.4263918064534664,0.17675318755209446,4.992772400379181
44,0.41389368548989297,0.16706321761012077,4.936609256267547,0.41091012209653854,0.16644891537725925,4.8892242312431335
45,0.4133401237428188,0.16736121401190757,4.919578182697296,0.41058771684765816,0.16111540608108044,4.98944616317749
46,0.4092878572642803,0.16028994917869568,4.979958045482635,0.40989113599061966,0.16475396789610386,4.902743458747864
47,0.4102794714272022,0.16201109811663628,4.965367388725281,0.410745769739151,0.16192283667623997,4.9764586091041565
48,0.4062093056738377,0.15770956687629223,4.969994628429413,0.41268908977508545,0.16466420888900757,4.960497677326202
49,0.40912772342562675,0.16037841625511645,4.9749860763549805,0.41164320707321167,0.1611974835395813,5.008914530277252
50,0.4068613134324551,0.15677154641598462,5.001795208454132,0.40725259855389595,0.16201343201100826,4.904783189296722
